Organ	Organ_ID	FTU Label in Uberon	FTU ID in Uberon	CT Label in CL	CT ID in CL	CT Label in 2D Object
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	thymic cortical macrophage	CL:0000883	Thymic Cortical Macrophage
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	subcapsular cortical epithelial cell	CL:0009077	Subcapsular Cortical Epithelial Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	beige adipocyte	CL:0001070	Beige Adipocyte
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	T cell	CL:0000084	T Cells
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125			Medullary Thymocytes
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	medullary thymic epithelial cell type 1	CL:0009071	Medullary Thymic Epithelial Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	Hassall's corpuscle	UBERON:0003987	Hassalls Corpuscle
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	memory B cell	CL:0000787	B Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	corticomedullary thymic epithelial cell	CL:0009070	Corticomedullary Thymic Epithelial Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	leukocyte	CL:0000738	White Blood Cell
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	thymic medullary macrophage	CL:0000882	Thymic Medullary Macrophage
Thymus	http://purl.obolibrary.org/obo/UBERON_0002370	Thymus Lobule	UBERON:0002125	naive B cell	CL:0000788	B Cell
